,F1H3N5,F1H5N4S1,F1H5N4S2,F1H6N4S1_structure1,F1H6N4S2,F1H7N4S2,F2H4N5,F2H6N4S1,F2H7N4G2,F2H7N4S2,acc,Kappa
Decision_Tree,1,0.833333333333333,0.827586206896552,0.333333333333333,0.714285714285714,0.8,1,0.8,1,0.833333333333333,0.811320754716981,0.780719900703351
Random_Forest,1,1,0.96,1,1,1,1,0.909090909090909,1,1,0.981132075471698,0.978314238952537
KNN,1,1,0.916666666666667,0.909090909090909,1,1,1,0.909090909090909,1,1,0.962264150943396,0.956752345981232
Naive_Bayes,1,0.714285714285714,0.8,NA,0.8,0.571428571428572,1,0.285714285714286,1,0.666666666666667,0.716981132075472,0.671079851055027
