,F1H3N5,F1H5N4S1,F1H5N4S2,F1H6N4S1_structure1,F1H6N4S2,F1H7N4S2,F2H4N5,F2H6N4S1,F2H7N4G2,F2H7N4S2,acc,Kappa
Decision_Tree,1,0.666666666666667,0.444444444444444,0.235294117647059,0.8,0.8,NA,0.666666666666667,NA,0.666666666666667,0.547169811320755,0.491606714628297
Random_Forest,1,0.857142857142857,0.814814814814815,0.6,1,1,1,0.666666666666667,1,1,0.867924528301887,0.847450657894737
KNN,1,1,0.857142857142857,0.888888888888889,1,1,1,0.666666666666667,NA,0.909090909090909,0.905660377358491,0.890541098719537
Naive_Bayes,1,0.833333333333333,0.666666666666667,NA,0.8,0.8,1,0.285714285714286,0.222222222222222,0.833333333333333,0.679245283018868,0.631492842535787
