,F1H3N5,F1H5N4S1,F1H5N4S2,F1H6N4S1_structure1,F1H6N4S2,F1H7N4S2,F2H4N5,F2H6N4S1,F2H7N4G2,F2H7N4S2,Not target,acc,Kappa
Decision_Tree,1,0.75,0.842105263157895,0.727272727272727,0.933333333333333,0.285714285714286,0.666666666666667,0.923076923076923,NA,0.6,0.849315068493151,0.807228915662651,0.749528479818936
Random_Forest,1,1,0.842105263157895,0.727272727272727,0.933333333333333,0.8,1,0.909090909090909,1,0.923076923076923,0.914285714285714,0.903614457831325,0.876625789669268
KNN,1,1,0.761904761904762,0.727272727272727,0.857142857142857,0.444444444444444,1,0.909090909090909,1,0.875,0.935483870967742,0.867469879518072,0.836818588025022
Naive_Bayes,0.117647058823529,0.5,0.875,NA,0.857142857142857,0.5,1,1,1,0.833333333333333,NA,0.409638554216867,0.376226993865031
