,F1H3N5,F1H5N4S1,F1H5N4S2,F1H6N4S1_structure1,F1H6N4S2,F1H7N4S2,F2H4N5,F2H6N4S1,F2H7N4G2,F2H7N4S2,Not target,acc,Kappa
Decision_Tree,1,0.769230769230769,0.75,0.833333333333333,0.8,1,1,0.923076923076923,1,0.8,0.90625,0.867469879518072,0.835495495495496
Random_Forest,1,1,0.947368421052632,0.833333333333333,0.933333333333333,1,1,1,1,1,0.96969696969697,0.963855421686747,0.954620010934937
KNN,1,0.909090909090909,0.947368421052632,0.923076923076923,0.857142857142857,0.6,0.8,0.833333333333333,1,0.933333333333333,0.88135593220339,0.879518072289157,0.854027435807246
Naive_Bayes,0.15,0.615384615384615,0.888888888888889,NA,0.933333333333333,0.5,1,1,1,0.736842105263158,NA,0.469879518072289,0.435810288892322
